"drugdrug","drug_pair","clusters"
"Amoxicillin-Oxacillin","Amoxicillin_Oxacillin",13
"Amoxicillin-Cefotaxime","Amoxicillin_Cefotaxime",13
"Amoxicillin-Cefaclor","Amoxicillin_Cefaclor",13
"Amoxicillin-Cefsulodin","Amoxicillin_Cefsulodin",13
"Amoxicillin-Piperacillin","Amoxicillin_Piperacillin",13
"Amoxicillin-Penicillin G","Amoxicillin_Penicillin G",13
"Amoxicillin-Imipenem","Amoxicillin_Imipenem",13
"Amoxicillin-Mecillinam","Amoxicillin_Mecillinam",13
"Amoxicillin-Aztreonam","Amoxicillin_Aztreonam",13
"Amoxicillin-Cephalexin","Amoxicillin_Cephalexin",7
"A22-Amoxicillin","Amoxicillin_A22",13
"Amoxicillin-Cycloserine D","Amoxicillin_Cycloserine D",13
"Amoxicillin-Teicoplanin","Amoxicillin_Teicoplanin",5
"Amoxicillin-Bacitracin","Amoxicillin_Bacitracin",10
"Amoxicillin-Fosfomycin","Amoxicillin_Fosfomycin",13
"Amoxicillin-Metronidazole","Amoxicillin_Metronidazole",1
"Amoxicillin-Clofazimine","Amoxicillin_Clofazimine",2
"Amoxicillin-Doxorubicin","Amoxicillin_Doxorubicin",8
"Amoxicillin-Mitomycin C","Amoxicillin_Mitomycin C",8
"Amoxicillin-Rifampicin","Amoxicillin_Rifampicin",2
"Amoxicillin-Ciprofloxacin","Amoxicillin_Ciprofloxacin",2
"Amoxicillin-Novobiocin","Amoxicillin_Novobiocin",10
"Amoxicillin-Levofloxacin","Amoxicillin_Levofloxacin",2
"Amoxicillin-Trimethoprim","Amoxicillin_Trimethoprim",8
"Amoxicillin-Sulfamonomethoxine","Amoxicillin_Sulfamonomethoxine",10
"Amoxicillin-Nitrofurantoin","Amoxicillin_Nitrofurantoin",12
"Amoxicillin-Bleomycin","Amoxicillin_Bleomycin",8
"Amoxicillin-Polymyxin B","Amoxicillin_Polymyxin B",8
"Amoxicillin-Chlorhexidine","Amoxicillin_Chlorhexidine",2
"Amoxicillin-Benzalkonium","Amoxicillin_Benzalkonium",2
"Amoxicillin-EGCG","Amoxicillin_EGCG",8
"Amoxicillin-Cerulenin","Amoxicillin_Cerulenin",8
"Amoxicillin-Nisin","Amoxicillin_Nisin",5
"Amoxicillin-Daptomycin","Amoxicillin_Daptomycin",2
"Amoxicillin-CCCP","Amoxicillin_CCCP",12
"Amoxicillin-Nonactin","Amoxicillin_Nonactin",6
"Amoxicillin-Paraquat","Amoxicillin_Paraquat",3
"Amoxicillin-Fusidic acid","Amoxicillin_Fusidic acid",9
"Amoxicillin-Puromycin","Amoxicillin_Puromycin",1
"Amoxicillin-Chloramphenicol","Amoxicillin_Chloramphenicol",10
"Amoxicillin-Linezolid","Amoxicillin_Linezolid",12
"Amoxicillin-Clindamycin","Amoxicillin_Clindamycin",8
"Amoxicillin-Doxycycline","Amoxicillin_Doxycycline",2
"Amoxicillin-Minocycline","Amoxicillin_Minocycline",1
"Amoxicillin-Tigecycline","Amoxicillin_Tigecycline",8
"Amoxicillin-Spectinomycin","Amoxicillin_Spectinomycin",7
"Amikacin-Amoxicillin","Amoxicillin_Amikacin",13
"Amoxicillin-Tobramycin","Amoxicillin_Tobramycin",3
"Amoxicillin-Spiramycin","Amoxicillin_Spiramycin",5
"Amoxicillin-Erythromycin","Amoxicillin_Erythromycin",4
"Amoxicillin-Clarithromycin","Amoxicillin_Clarithromycin",9
"Amoxicillin-Caffeine","Amoxicillin_Caffeine",12
"Amoxicillin-Vanillin","Amoxicillin_Vanillin",2
"Amoxicillin-Reserpine","Amoxicillin_Reserpine",9
"Amoxicillin-Procaine","Amoxicillin_Procaine",2
"Amoxicillin-Theophylline","Amoxicillin_Theophylline",5
"Amoxicillin-Loperamide","Amoxicillin_Loperamide",2
"Amoxicillin-Verapamil","Amoxicillin_Verapamil",6
"Amoxicillin-Meropenem","Amoxicillin_Meropenem",13
"Amoxicillin-Colistin","Amoxicillin_Colistin",2
"Amoxicillin-CHIR-90","Amoxicillin_CHIR-90",2
"Amoxicillin-Triclosan","Amoxicillin_Triclosan",5
"Amoxicillin-Gentamicin","Amoxicillin_Gentamicin",4
"Amoxicillin-Azithromycin","Amoxicillin_Azithromycin",2
"Amoxicillin-Curcumin","Amoxicillin_Curcumin",2
"Amoxicillin-Berberine","Amoxicillin_Berberine",2
"Amoxicillin-Metformin","Amoxicillin_Metformin",2
"Amoxicillin-Phenformin","Amoxicillin_Phenformin",5
"Amoxicillin-Streptozotocin","Amoxicillin_Streptozotocin",6
"Amoxicillin-Diclofenac","Amoxicillin_Diclofenac",5
"Acetylsalisylic acid-Amoxicillin","Amoxicillin_Acetylsalisylic acid",5
"Amoxicillin-Ciclopirox","Amoxicillin_Ciclopirox",12
"Amoxicillin-Moxifloxacin","Amoxicillin_Moxifloxacin",2
"Amoxicillin-Phleomycin","Amoxicillin_Phleomycin",2
"Cefotaxime-Oxacillin","Oxacillin_Cefotaxime",13
"Cefaclor-Oxacillin","Oxacillin_Cefaclor",13
"Cefsulodin-Oxacillin","Oxacillin_Cefsulodin",9
"Oxacillin-Piperacillin","Oxacillin_Piperacillin",4
"Oxacillin-Penicillin G","Oxacillin_Penicillin G",13
"Imipenem-Oxacillin","Oxacillin_Imipenem",3
"Mecillinam-Oxacillin","Oxacillin_Mecillinam",3
"Aztreonam-Oxacillin","Oxacillin_Aztreonam",3
"Cephalexin-Oxacillin","Oxacillin_Cephalexin",11
"A22-Oxacillin","Oxacillin_A22",11
"Oxacillin-Teicoplanin","Oxacillin_Teicoplanin",10
"Bacitracin-Oxacillin","Oxacillin_Bacitracin",12
"Metronidazole-Oxacillin","Oxacillin_Metronidazole",1
"Clofazimine-Oxacillin","Oxacillin_Clofazimine",1
"Doxorubicin-Oxacillin","Oxacillin_Doxorubicin",8
"Mitomycin C-Oxacillin","Oxacillin_Mitomycin C",3
"Oxacillin-Rifampicin","Oxacillin_Rifampicin",10
"Novobiocin-Oxacillin","Oxacillin_Novobiocin",10
"Levofloxacin-Oxacillin","Oxacillin_Levofloxacin",3
"Oxacillin-Trimethoprim","Oxacillin_Trimethoprim",4
"Oxacillin-Sulfamonomethoxine","Oxacillin_Sulfamonomethoxine",3
"Nitrofurantoin-Oxacillin","Oxacillin_Nitrofurantoin",6
"Bleomycin-Oxacillin","Oxacillin_Bleomycin",8
"Oxacillin-Polymyxin B","Oxacillin_Polymyxin B",12
"Chlorhexidine-Oxacillin","Oxacillin_Chlorhexidine",4
"Benzalkonium-Oxacillin","Oxacillin_Benzalkonium",1
"EGCG-Oxacillin","Oxacillin_EGCG",6
"Cerulenin-Oxacillin","Oxacillin_Cerulenin",6
"Nisin-Oxacillin","Oxacillin_Nisin",5
"Daptomycin-Oxacillin","Oxacillin_Daptomycin",2
"CCCP-Oxacillin","Oxacillin_CCCP",6
"Nonactin-Oxacillin","Oxacillin_Nonactin",1
"Oxacillin-Paraquat","Oxacillin_Paraquat",11
"Fusidic acid-Oxacillin","Oxacillin_Fusidic acid",10
"Oxacillin-Puromycin","Oxacillin_Puromycin",4
"Linezolid-Oxacillin","Oxacillin_Linezolid",1
"Clindamycin-Oxacillin","Oxacillin_Clindamycin",8
"Minocycline-Oxacillin","Oxacillin_Minocycline",8
"Oxacillin-Tigecycline","Oxacillin_Tigecycline",5
"Amikacin-Oxacillin","Oxacillin_Amikacin",6
"Oxacillin-Tobramycin","Oxacillin_Tobramycin",6
"Oxacillin-Spiramycin","Oxacillin_Spiramycin",8
"Erythromycin-Oxacillin","Oxacillin_Erythromycin",6
"Clarithromycin-Oxacillin","Oxacillin_Clarithromycin",8
"Caffeine-Oxacillin","Oxacillin_Caffeine",4
"Oxacillin-Vanillin","Oxacillin_Vanillin",8
"Oxacillin-Reserpine","Oxacillin_Reserpine",1
"Oxacillin-Procaine","Oxacillin_Procaine",1
"Oxacillin-Theophylline","Oxacillin_Theophylline",5
"Loperamide-Oxacillin","Oxacillin_Loperamide",1
"Oxacillin-Verapamil","Oxacillin_Verapamil",5
"Meropenem-Oxacillin","Oxacillin_Meropenem",13
"Colistin-Oxacillin","Oxacillin_Colistin",10
"CHIR-90-Oxacillin","Oxacillin_CHIR-90",13
"Oxacillin-Triclosan","Oxacillin_Triclosan",11
"Gentamicin-Oxacillin","Oxacillin_Gentamicin",11
"Azithromycin-Oxacillin","Oxacillin_Azithromycin",7
"Curcumin-Oxacillin","Oxacillin_Curcumin",1
"Berberine-Oxacillin","Oxacillin_Berberine",6
"Metformin-Oxacillin","Oxacillin_Metformin",6
"Oxacillin-Phenformin","Oxacillin_Phenformin",3
"Oxacillin-Streptozotocin","Oxacillin_Streptozotocin",7
"Diclofenac-Oxacillin","Oxacillin_Diclofenac",2
"Acetylsalisylic acid-Oxacillin","Oxacillin_Acetylsalisylic acid",11
"Ciclopirox-Oxacillin","Oxacillin_Ciclopirox",10
"Moxifloxacin-Oxacillin","Oxacillin_Moxifloxacin",3
"Oxacillin-Phleomycin","Oxacillin_Phleomycin",2
"Cefaclor-Cefotaxime","Cefotaxime_Cefaclor",13
"Cefotaxime-Cefsulodin","Cefotaxime_Cefsulodin",13
"Cefotaxime-Piperacillin","Cefotaxime_Piperacillin",13
"Cefotaxime-Penicillin G","Cefotaxime_Penicillin G",4
"Cefotaxime-Imipenem","Cefotaxime_Imipenem",4
"Cefotaxime-Mecillinam","Cefotaxime_Mecillinam",13
"Aztreonam-Cefotaxime","Cefotaxime_Aztreonam",13
"Cefotaxime-Cephalexin","Cefotaxime_Cephalexin",7
"A22-Cefotaxime","Cefotaxime_A22",13
"Cefotaxime-Teicoplanin","Cefotaxime_Teicoplanin",5
"Cefotaxime-Metronidazole","Cefotaxime_Metronidazole",10
"Cefotaxime-Clofazimine","Cefotaxime_Clofazimine",9
"Cefotaxime-Doxorubicin","Cefotaxime_Doxorubicin",9
"Cefotaxime-Mitomycin C","Cefotaxime_Mitomycin C",9
"Cefotaxime-Rifampicin","Cefotaxime_Rifampicin",7
"Cefotaxime-Levofloxacin","Cefotaxime_Levofloxacin",4
"Cefotaxime-Trimethoprim","Cefotaxime_Trimethoprim",6
"Cefotaxime-Sulfamonomethoxine","Cefotaxime_Sulfamonomethoxine",3
"Cefotaxime-Nitrofurantoin","Cefotaxime_Nitrofurantoin",10
"Bleomycin-Cefotaxime","Cefotaxime_Bleomycin",10
"Cefotaxime-Chlorhexidine","Cefotaxime_Chlorhexidine",8
"Benzalkonium-Cefotaxime","Cefotaxime_Benzalkonium",1
"Cefotaxime-EGCG","Cefotaxime_EGCG",6
"Cefotaxime-Cerulenin","Cefotaxime_Cerulenin",6
"Cefotaxime-Nisin","Cefotaxime_Nisin",10
"Cefotaxime-Daptomycin","Cefotaxime_Daptomycin",2
"CCCP-Cefotaxime","Cefotaxime_CCCP",6
"Cefotaxime-Nonactin","Cefotaxime_Nonactin",2
"Cefotaxime-Paraquat","Cefotaxime_Paraquat",10
"Cefotaxime-Puromycin","Cefotaxime_Puromycin",2
"Cefotaxime-Linezolid","Cefotaxime_Linezolid",2
"Cefotaxime-Clindamycin","Cefotaxime_Clindamycin",2
"Cefotaxime-Minocycline","Cefotaxime_Minocycline",1
"Cefotaxime-Tigecycline","Cefotaxime_Tigecycline",6
"Cefotaxime-Tobramycin","Cefotaxime_Tobramycin",3
"Cefotaxime-Spiramycin","Cefotaxime_Spiramycin",8
"Cefotaxime-Erythromycin","Cefotaxime_Erythromycin",6
"Cefotaxime-Clarithromycin","Cefotaxime_Clarithromycin",6
"Caffeine-Cefotaxime","Cefotaxime_Caffeine",9
"Cefotaxime-Vanillin","Cefotaxime_Vanillin",2
"Cefotaxime-Reserpine","Cefotaxime_Reserpine",2
"Cefotaxime-Procaine","Cefotaxime_Procaine",2
"Cefotaxime-Theophylline","Cefotaxime_Theophylline",4
"Cefotaxime-Loperamide","Cefotaxime_Loperamide",2
"Cefotaxime-Verapamil","Cefotaxime_Verapamil",3
"Cefotaxime-Meropenem","Cefotaxime_Meropenem",13
"Cefotaxime-Colistin","Cefotaxime_Colistin",12
"Cefotaxime-CHIR-90","Cefotaxime_CHIR-90",13
"Cefotaxime-Triclosan","Cefotaxime_Triclosan",3
"Cefotaxime-Gentamicin","Cefotaxime_Gentamicin",11
"Azithromycin-Cefotaxime","Cefotaxime_Azithromycin",1
"Cefotaxime-Curcumin","Cefotaxime_Curcumin",2
"Berberine-Cefotaxime","Cefotaxime_Berberine",2
"Cefotaxime-Metformin","Cefotaxime_Metformin",5
"Cefotaxime-Phenformin","Cefotaxime_Phenformin",3
"Cefotaxime-Streptozotocin","Cefotaxime_Streptozotocin",7
"Cefotaxime-Diclofenac","Cefotaxime_Diclofenac",1
"Acetylsalisylic acid-Cefotaxime","Cefotaxime_Acetylsalisylic acid",12
"Cefotaxime-Ciclopirox","Cefotaxime_Ciclopirox",2
"Cefotaxime-Moxifloxacin","Cefotaxime_Moxifloxacin",3
"Cefotaxime-Phleomycin","Cefotaxime_Phleomycin",8
"Cefaclor-Cefsulodin","Cefaclor_Cefsulodin",13
"Cefaclor-Piperacillin","Cefaclor_Piperacillin",13
"Cefaclor-Penicillin G","Cefaclor_Penicillin G",13
"Cefaclor-Imipenem","Cefaclor_Imipenem",13
"Cefaclor-Mecillinam","Cefaclor_Mecillinam",13
"Aztreonam-Cefaclor","Cefaclor_Aztreonam",13
"Cefaclor-Cephalexin","Cefaclor_Cephalexin",10
"A22-Cefaclor","Cefaclor_A22",13
"Cefaclor-Teicoplanin","Cefaclor_Teicoplanin",12
"Cefaclor-Metronidazole","Cefaclor_Metronidazole",7
"Cefaclor-Clofazimine","Cefaclor_Clofazimine",2
"Cefaclor-Doxorubicin","Cefaclor_Doxorubicin",9
"Cefaclor-Mitomycin C","Cefaclor_Mitomycin C",9
"Cefaclor-Rifampicin","Cefaclor_Rifampicin",5
"Cefaclor-Levofloxacin","Cefaclor_Levofloxacin",9
"Cefaclor-Trimethoprim","Cefaclor_Trimethoprim",4
"Cefaclor-Sulfamonomethoxine","Cefaclor_Sulfamonomethoxine",9
"Cefaclor-Nitrofurantoin","Cefaclor_Nitrofurantoin",12
"Bleomycin-Cefaclor","Cefaclor_Bleomycin",13
"Cefaclor-Chlorhexidine","Cefaclor_Chlorhexidine",2
"Cefaclor-EGCG","Cefaclor_EGCG",4
"Cefaclor-Cerulenin","Cefaclor_Cerulenin",4
"Cefaclor-Nisin","Cefaclor_Nisin",4
"Cefaclor-Daptomycin","Cefaclor_Daptomycin",2
"CCCP-Cefaclor","Cefaclor_CCCP",9
"Cefaclor-Nonactin","Cefaclor_Nonactin",9
"Cefaclor-Paraquat","Cefaclor_Paraquat",10
"Cefaclor-Puromycin","Cefaclor_Puromycin",9
"Cefaclor-Linezolid","Cefaclor_Linezolid",1
"Cefaclor-Clindamycin","Cefaclor_Clindamycin",9
"Cefaclor-Minocycline","Cefaclor_Minocycline",6
"Cefaclor-Tigecycline","Cefaclor_Tigecycline",2
"Cefaclor-Tobramycin","Cefaclor_Tobramycin",10
"Cefaclor-Spiramycin","Cefaclor_Spiramycin",12
"Cefaclor-Erythromycin","Cefaclor_Erythromycin",9
"Cefaclor-Clarithromycin","Cefaclor_Clarithromycin",4
"Caffeine-Cefaclor","Cefaclor_Caffeine",2
"Cefaclor-Vanillin","Cefaclor_Vanillin",2
"Cefaclor-Reserpine","Cefaclor_Reserpine",4
"Cefaclor-Procaine","Cefaclor_Procaine",2
"Cefaclor-Theophylline","Cefaclor_Theophylline",9
"Cefaclor-Loperamide","Cefaclor_Loperamide",9
"Cefaclor-Verapamil","Cefaclor_Verapamil",6
"Cefaclor-Meropenem","Cefaclor_Meropenem",13
"Cefaclor-Colistin","Cefaclor_Colistin",2
"Cefaclor-CHIR-90","Cefaclor_CHIR-90",5
"Cefaclor-Triclosan","Cefaclor_Triclosan",3
"Cefaclor-Gentamicin","Cefaclor_Gentamicin",1
"Azithromycin-Cefaclor","Cefaclor_Azithromycin",2
"Cefaclor-Curcumin","Cefaclor_Curcumin",10
"Berberine-Cefaclor","Cefaclor_Berberine",10
"Cefaclor-Metformin","Cefaclor_Metformin",2
"Cefaclor-Phenformin","Cefaclor_Phenformin",11
"Cefaclor-Streptozotocin","Cefaclor_Streptozotocin",12
"Cefaclor-Diclofenac","Cefaclor_Diclofenac",10
"Acetylsalisylic acid-Cefaclor","Cefaclor_Acetylsalisylic acid",2
"Cefaclor-Ciclopirox","Cefaclor_Ciclopirox",5
"Cefaclor-Moxifloxacin","Cefaclor_Moxifloxacin",8
"Cefaclor-Phleomycin","Cefaclor_Phleomycin",5
"Cefsulodin-Piperacillin","Cefsulodin_Piperacillin",13
"Cefsulodin-Penicillin G","Cefsulodin_Penicillin G",13
"Cefsulodin-Imipenem","Cefsulodin_Imipenem",5
"Cefsulodin-Mecillinam","Cefsulodin_Mecillinam",4
"Aztreonam-Cefsulodin","Cefsulodin_Aztreonam",13
"Cefsulodin-Cephalexin","Cefsulodin_Cephalexin",12
"A22-Cefsulodin","Cefsulodin_A22",8
"Cefsulodin-Teicoplanin","Cefsulodin_Teicoplanin",11
"Cefsulodin-Metronidazole","Cefsulodin_Metronidazole",12
"Cefsulodin-Clofazimine","Cefsulodin_Clofazimine",12
"Cefsulodin-Doxorubicin","Cefsulodin_Doxorubicin",1
"Cefsulodin-Mitomycin C","Cefsulodin_Mitomycin C",10
"Cefsulodin-Rifampicin","Cefsulodin_Rifampicin",3
"Cefsulodin-Levofloxacin","Cefsulodin_Levofloxacin",4
"Cefsulodin-Trimethoprim","Cefsulodin_Trimethoprim",3
"Cefsulodin-Sulfamonomethoxine","Cefsulodin_Sulfamonomethoxine",3
"Cefsulodin-Nitrofurantoin","Cefsulodin_Nitrofurantoin",5
"Bleomycin-Cefsulodin","Cefsulodin_Bleomycin",4
"Cefsulodin-Chlorhexidine","Cefsulodin_Chlorhexidine",2
"Cefsulodin-EGCG","Cefsulodin_EGCG",5
"Cefsulodin-Cerulenin","Cefsulodin_Cerulenin",10
"Cefsulodin-Nisin","Cefsulodin_Nisin",9
"Cefsulodin-Daptomycin","Cefsulodin_Daptomycin",2
"CCCP-Cefsulodin","Cefsulodin_CCCP",2
"Cefsulodin-Nonactin","Cefsulodin_Nonactin",10
"Cefsulodin-Paraquat","Cefsulodin_Paraquat",3
"Cefsulodin-Puromycin","Cefsulodin_Puromycin",4
"Cefsulodin-Linezolid","Cefsulodin_Linezolid",2
"Cefsulodin-Clindamycin","Cefsulodin_Clindamycin",2
"Cefsulodin-Minocycline","Cefsulodin_Minocycline",8
"Cefsulodin-Tigecycline","Cefsulodin_Tigecycline",12
"Cefsulodin-Tobramycin","Cefsulodin_Tobramycin",7
"Cefsulodin-Spiramycin","Cefsulodin_Spiramycin",9
"Cefsulodin-Erythromycin","Cefsulodin_Erythromycin",2
"Cefsulodin-Clarithromycin","Cefsulodin_Clarithromycin",4
"Caffeine-Cefsulodin","Cefsulodin_Caffeine",4
"Cefsulodin-Vanillin","Cefsulodin_Vanillin",8
