bug	combination	CompleteConcRange	AntagConcRange	SynConcRange	AntagPot	SynPot
Ecoli_BW	Amoxicillin_Chloramphenicol	0.986501349865013	0.767323267673233	0.985501449855015	26	48
Ecoli_BW	Amoxicillin_Ciprofloxacin	0.284971502849715	0.351264873512649	0.418058194180582	32	35
Ecoli_BW	Amoxicillin_Cycloserine D	9.99900009999e-05	0.0507949205079492	9.99900009999e-05	14	48
Ecoli_BW	Amoxicillin_Doxycycline	0.0052994700529947	0.0014998500149985	0.0065993400659934	34	47
Ecoli_BW	Amoxicillin_Spectinomycin	0.0360963903609639	0.0013998600139986	0.0348965103489651	26	45
Ecoli_BW	Amoxicillin_Fosfomycin	9.99900009999e-05	0.0012998700129987	9.99900009999e-05	34	44
Ecoli_BW	Amoxicillin_Oxacillin	9.99900009999e-05	9.99900009999e-05	9.99900009999e-05	23	66
Ecoli_BW	Amoxicillin_Novobiocin	0.82051794820518	0.676832316768323	0.809119088091191	24	48
Ecoli_BW	Amoxicillin_Bacitracin	0.971202879712029	0.927607239276072	0.973402659734027	15	48
Ecoli_BW	Amoxicillin_Polymyxin B	0.751024897510249	0.933206679332067	0.85991400859914	18	46
Ecoli_BW	Amoxicillin_Fusidic acid	0.965303469653035	0.931706829317068	0.963803619638036	25	48
Ecoli_BW	Amoxicillin_Amikacin	0.0002999700029997	0.0491950804919508	0.0002999700029997	41	56
Ecoli_BW	Amoxicillin_Cefotaxime	9.99900009999e-05	9.99900009999e-05	9.99900009999e-05	38	66
Ecoli_BW	Amoxicillin_PMS	0.355464453554645	0.0976902309769023	0.351064893510649	24	42
Ecoli_BW	Amoxicillin_Benzalkonium	0.0663933606639336	0.581941805819418	0.0430956904309569	30	46
Ecoli_BW	Amoxicillin_Cefaclor	9.99900009999e-05	9.99900009999e-05	9.99900009999e-05	31	62
Ecoli_BW	Amoxicillin_Cefsulodin	9.99900009999e-05	9.99900009999e-05	9.99900009999e-05	28	62
Ecoli_BW	Amoxicillin_Clindamycin	0.936606339366063	0.727827217278272	0.941705829417058	15	48
Ecoli_BW	Amoxicillin_Spiramycin	0.719128087191281	0.623837616238376	0.716528347165283	13	48
Ecoli_BW	Amoxicillin_Erythromycin	0.902109789021098	0.844015598440156	0.898810118988101	28	48
Ecoli_BW	Amoxicillin_Trimethoprim	9.99900009999e-05	0.0001999800019998	9.99900009999e-05	38	48
Ecoli_BW	Amoxicillin_Sulfamonomethoxine	0.85991400859914	0.336066393360664	0.864313568643136	12	48
Ecoli_BW	Amoxicillin_Paraquat	0.916208379162084	0.617038296170383	0.919308069193081	14	48
Ecoli_BW	Amoxicillin_Procaine	9.99900009999e-05	9.99900009999e-05	9.99900009999e-05	50	66
Ecoli_BW	Amoxicillin_Vanillin	0.0045995400459954	9.99900009999e-05	0.0041995800419958	12	48
Ecoli_BW	Amoxicillin_Verapamil	0.714028597140286	0.85011498850115	0.715928407159284	12	48
Ecoli_BW	Amoxicillin_Levofloxacin	0.874012598740126	0.828517148285172	0.908909109089091	50	18
Ecoli_BW	Amoxicillin_Piperacillin	0.0001999800019998	0.0006999300069993	9.99900009999e-05	23	54
Ecoli_BW	Amoxicillin_Nitrofurantoin	0.885811418858114	0.0382961703829617	0.89041095890411	25	54
Ecoli_BW	Amoxicillin_CCCP	0.897010298970103	0.736926307369263	0.925807419258074	43	64
Ecoli_BW	Amoxicillin_Cephalexin	0.424157584241576	0.937906209379062	0.421657834216578	15	54
Ecoli_BW	Amoxicillin_Mecillinam	9.99900009999e-05	9.99900009999e-05	9.99900009999e-05	60	50
Ecoli_BW	Amoxicillin_A22	0.0028997100289971	0.0010998900109989	0.0015998400159984	65	56
Ecoli_BW	Amoxicillin_Loperamide	0.958004199580042	0.377562243775622	0.96030396960304	34	72
Ecoli_BW	Amoxicillin_Minocycline	0.171582841715828	0.0188981101889811	0.17038296170383	34	72
