"compound","cal","cne","sce","spo"
"( r)-(+)-win 55,212-2 mesylate_AmpB",50.99,52.355,101.79,95
"( r)-(+)-win 55,212-2 mesylate_Ben",96.085,103.31,98.86,99.97
"( r)-(+)-win 55,212-2 mesylate_CF",79.77,73.23,19.62,92.97
"( r)-(+)-win 55,212-2 mesylate_Cyp",95.725,106.32,95.48,99.24
"( r)-(+)-win 55,212-2 mesylate_DMSO",99.12,82.3,100.16,97.1
"( r)-(+)-win 55,212-2 mesylate_FL",100.3,88.605,96.97,92.66
"( r)-(+)-win 55,212-2 mesylate_TB",53,61.99,98.32,98.03
"(-) -levobunolol hydrochloride_AmpB",101.91,103.16,98.69,99.13
"(-) -levobunolol hydrochloride_Ben",99.33,103.46,94.84,100.94
"(-) -levobunolol hydrochloride_CF",102.66,100.17,101.17,99.72
"(-) -levobunolol hydrochloride_Cyp",97.83,86.48,101.09,102.77
"(-) -levobunolol hydrochloride_DMSO",101.83,100.88,102.4,100.55
"(-) -levobunolol hydrochloride_FL",101.53,83.13,99.13,103.34
"(-) -levobunolol hydrochloride_TB",99.03,97.97,99.68,101.28
"(-)-bicuculline methbromide, 1(s), 9(r)_AmpB",103.54,101.13,103.49,99.6
"(-)-bicuculline methbromide, 1(s), 9(r)_Ben",98.51,101.3,96.21,99.4
"(-)-bicuculline methbromide, 1(s), 9(r)_CF",101.66,102.28,101.15,97.22
"(-)-bicuculline methbromide, 1(s), 9(r)_Cyp",98.29,97.56,100.72,99.38
"(-)-bicuculline methbromide, 1(s), 9(r)_DMSO",94.88,93,91.62,100.44
"(-)-bicuculline methbromide, 1(s), 9(r)_FL",101.65,120.4,96.7,100.07
"(-)-bicuculline methbromide, 1(s), 9(r)_TB",96.78,113.2,91.48,98.85
"(-)-cinchonidine_AmpB",98.46,100.66,99.23,99.77
"(-)-cinchonidine_Ben",103.05,99.75,100.64,102.58
"(-)-cinchonidine_CF",99.94,97.09,103.62,101.72
"(-)-cinchonidine_Cyp",99.06,81.34,98.73,100.76
"(-)-cinchonidine_DMSO",100.63,100.59,97.27,101.83
"(-)-cinchonidine_FL",96.17,112.8,100.92,103.24
"(-)-cinchonidine_TB",103.19,97.76,94.63,100.75
"(-)-cis-(1s,2r)-u-50488 tartrate_AmpB",97.49,103.75,96.28,98.18
"(-)-cis-(1s,2r)-u-50488 tartrate_Ben",98.4,109.36,100.77,97.42
"(-)-cis-(1s,2r)-u-50488 tartrate_CF",98.34,95.82,98.78,99.11
"(-)-cis-(1s,2r)-u-50488 tartrate_Cyp",95.08,56.42,96.2,98.81
